lugar,lat,lon,menciones,doc_ids
Buenos Aires (Colombia),3.02,-76.64,6,F3-ALERTAS-077 | F3-ALERTAS-216 | F3-ALERTAS-308 | F3-ALERTAS-320 | F3-MAPPOEA-028
Risaralda,5.2103,-75.9842,6,F3-ALERTAS-007 | F3-ALERTAS-010 | F3-ALERTAS-024 | F3-ALERTAS-215 | F3-ALERTAS-290
Valle,3.6984,-76.5502,5,F3-ALERTAS-095 | F3-ALERTAS-386 | F3-ALERTAS-417 | F3-MAPPOEA-015 | F3-MAPPOEA-018
Caldas,5.3303,-75.2873,5,F3-ALERTAS-112 | F3-ALERTAS-180 | F3-ALERTAS-290 | F3-ALERTAS-361 | F3-MAPPOEA-034
Magdalena Medio,6.5748,-74.6094,5,F3-ALERTAS-016 | F3-ALERTAS-083 | F3-ALERTAS-419 | F3-MAPPOEA-014
Tierralta,8.1718,-76.0601,5,F3-ALERTAS-038 | F3-ALERTAS-328 | F3-ALERTAS-360 | F3-ALERTAS-424 | F3-MAPPOEA-014
Medellín,6.2697,-75.6026,5,F3-ALERTAS-077 | F3-ALERTAS-252 | F3-ALERTAS-288 | F3-MAPPOEA-016 | F3-MAPPOEA-031
Cali,3.4108,-76.5812,5,F3-ALERTAS-006 | F3-ALERTAS-362 | F3-ALERTAS-392 | F3-MAPPOEA-020 | F3-MAPPOEA-035
Bucaramanga,7.167,-73.1047,5,F3-ALERTAS-125 | F3-ALERTAS-136 | F3-ALERTAS-231 | F3-ALERTAS-419
Atlántico,10.6773,-74.9719,5,F3-ALERTAS-171 | F3-ALERTAS-191 | F3-ALERTAS-238 | F3-ALERTAS-275 | F3-MAPPOEA-018
Cáceres (Colombia),7.58,-75.35,4,F3-MAPPOEA-020 | F3-MAPPOEA-021 | F3-MAPPOEA-028 | F3-MAPPOEA-034
Darién,8.2159,-78.0173,4,F3-MAPPOEA-023 | F3-MAPPOEA-034 | F3-RESDAL-024 | F3-RESDAL-092
Sucre,9.0,-75.0,4,F3-ALERTAS-022 | F3-ALERTAS-077 | F3-ALERTAS-338 | F3-MAPPOEA-013
Montería,8.6046,-75.9783,3,F3-ALERTAS-060 | F3-MAPPOEA-034
